AMOUNT,CANDIDATE,CONTRIBUTIONTYPEDESC,CONTRIBUTORTYPEDESC,CONTRIBUTOR_ADDRESS,CONTRIBUTOR_NAME,CONTRIBUTOR_POSTAL_CODE,OFFICE,OFFICE_TYPE,WARD_NO,Year
300.0,"Dominelli, Fred",Monetary,Corporation,"P.O. Box 7211, 7700 Pine Valley Drive, Woodbridge",(132585) Ontario Limited,L4L 8X8,Councillor,2.0,17,2006
500.0,"McCormick, Suzanne",Monetary,Corporation,"30 Booth Ave., Suite 100, Toronto",1001411 Ontario Limited,M4M 2M2,Councillor,2.0,30,2006
250.0,"McCormick, Suzanne",Monetary,Corporation,"30 Booth Ave., Suite 100, Toronto",1001411 Ontario Limited,M4M 2M2,Councillor,2.0,30,2006
350.0,"Miller, Andrew",Monetary,Corporation,"35 West Pearce St., Suite 32, Richmond Hill",1007749 Ontario Ltd.,L4B 3A9,Councillor,2.0,23,2006
500.0,"Filion, John",Monetary,Corporation,"5025 Yonge St., Toronto",1095195 Ontario Ltd.,M2N 5P2,Councillor,2.0,23,2006
300.0,"Thompson, Michael",Monetary,Corporation,"2300 Lawrence Ave E, Toronto",1132259 Ontario Ltd White Shield Banquet Halls,M1P 2R2,Councillor,2.0,37,2006
350.0,"Mammoliti, Giorgio",Monetary,Corporation,"873 Queen St. W., Toronto",1173044 Ontario Limited,M6J 1G4,Councillor,2.0,7,2006
750.0,"Thompson, Michael",Monetary,Corporation,"578 Front St W, Toronto",1189905 Ontario Inc Harley Davison of Toronto,M5V 1C1,Councillor,2.0,37,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"170 Doughton Road, Concord",1193489 Ontario Limited,L7K 1R4,Councillor,2.0,7,2006
250.0,"Ainslie, Paul",Monetary,Corporation,"Unit 18 1940 Ellesmere rd., Toronto",12106 70 Ontario Inc. O/A Scarborough City Cab,M1H 2V7,Councillor,2.0,43,2006
250.0,"Aynedjian, Hratch",Monetary,Corporation,"1940 Ellesmere Road, Suite 18, Toronto",1210670 Ontario Inc.,M1H 2V7,Councillor,2.0,41,2006
750.0,"Gondor Berkovits, Magda",Monetary,Corporation,"113 Kennard Ave, North York",1214230 Ontario Inc.,M3H 4M3,Councillor,2.0,10,2006
150.0,"Berardinetti, Michelle",Monetary,Corporation,"2425 Eglinton Ave. E., Suite 10, Toronto",1248534 Ontario Inc.,M1K 5G8,Councillor,2.0,35,2006
750.0,"Milczyn, Peter",Monetary,Corporation,"2005 Sheppard Avenue East, Suite 500, Toronto","125 QW Limited Partnership, Attn: Mitchell Abraham",M2J 5B4,Councillor,2.0,5,2006
750.0,"Thompson, Michael",Monetary,Corporation,"2800 Kennedy Rd, Toronto",1256632 Ontario Inc,M1T 3J2,Councillor,2.0,37,2006
500.0,"Cutler, Fred",Monetary,Corporation,"365 Evans Ave., Suite 601, Toronto",1256834 Ontario Ltd,M8Z 1K2,Councillor,2.0,7,2006
150.0,"Saundercook, Bill",Monetary,Corporation,"7880 Keele St, Suite 12, Concord",1259366 Ontario Limited,L4K 4G7,Councillor,2.0,13,2006
750.0,"Gualtieri, Rocky",Monetary,Corporation,"13 Corbett Ave, Toronto",1268249 Ontario Ltd,M6N 1V2,Councillor,2.0,11,2006
500.0,"Milczyn, Peter",Monetary,Corporation,"540D Scarlett Road, Toronto",1299781 Ontario Inc.,M9P 2S2,Councillor,2.0,5,2006
200.0,"Mammoliti, Giorgio",Monetary,Corporation,"1786 Eglinton Ave. W., Toronto",1318234 Ontario Inc. Toronto Latino,M6E 2H6,Councillor,2.0,7,2006
750.0,"Giambrone, Adam",Monetary,Corporation,"25B Cariboo Avenue, Toronto",1325076 Ontario Ltd.,M6P 3T7,Councillor,2.0,18,2006
200.0,"Thompson, Michael",Monetary,Corporation,"14th Ave , Suite 2655, Toronto",1361664 Ontario Ltd Wash'N'Go,L3R 0H9,Councillor,2.0,37,2006
200.0,"Bussin, Sandra",Monetary,Corporation,"1416 Gerrard Street East, Toronto",1393409 Ontario Limited,M4L 1Z8,Councillor,2.0,32,2006
150.0,"Wong, John",Monetary,Corporation,"48 Fairview Blvd, Toronto",1418200 Ontario Limited,M4K 1L9,Councillor,2.0,39,2006
375.0,"Augimeri, Maria",Monetary,Corporation,"3500 Dufferin Street, Suite 101, Toronto",1429517 Ont. Inc.,M3K 1N2,Councillor,2.0,9,2006
150.0,"Aynedjian, Hratch",Monetary,Corporation,"2569 Victioria Park Avenue, Toronto",1432462 Ontario Ltd. T/A Salon Ambience & Spa,M1T 1A4,Councillor,2.0,41,2006
300.0,"Aynedjian, Hratch",Monetary,Corporation,"1684 Danforth Avenue, Toronto",1436584 Ontario Ltd,M4C 1H6,Councillor,2.0,41,2006
400.0,"Moscoe, Howard",Monetary,Corporation,"200 Bridgeland Avenue, Toronto",1460 Lakeview Homes Inc,M6A 1Z4,Councillor,2.0,15,2006
750.0,"Ootes, Case",Monetary,Corporation,"1681 Lakeshore Blvd. East, Toronto",1471083 Ontario Ltd.,M4L 3W6,Councillor,2.0,29,2006
200.0,"Thompson, Michael",Monetary,Corporation,"1921 Lawrence Ave E, Toronto",1472413 Ontario Barcleys Resturant,M1R 2Y6,Councillor,2.0,37,2006
250.0,"Lojko, Ted",Monetary,Corporation,"1976 Queen St E., Toronto",1472667 Ont. Inc.,M4L 1H8,Councillor,2.0,14,2006
750.0,"Daly, Shane",Monetary,Corporation,"598 Nashville Rd, Kleinburg","1483577 Ontario Ltd, c/o Duo Consulting Group",L1S 1C0,Councillor,2.0,4,2006
700.0,"Di Giorgio, Frank",Monetary,Corporation,"1530 Weston Rd., Toronto","1497601 Onatrio Ltd.,Westgate Village",M9N 1T2,Councillor,2.0,12,2006
750.0,"Cho, Raymond",Monetary,Corporation,"70 Dunmurray Blvd., Toronto",1501662 Ontario Ltd.,M1T 2K5,Councillor,2.0,42,2006
1000.0,"Miller, Andrew",Monetary,Corporation,"5307 Yonge St., Toronto",1519980 Ontario Ltd.,M2N 5R4,Councillor,2.0,23,2006
750.0,"Dominelli, Fred",Monetary,Corporation,"435 Bowes Rd., Unit 1, Concord",1521425 Ontario Inc.,L4K 1J5,Councillor,2.0,17,2006
750.0,"Mammoliti, Giorgio",Monetary,Corporation,"3210 Weston Rd., P.O. Box 95099, Toronto",1521428 Ontario Inc.,M9M 2T7,Councillor,2.0,7,2006
750.0,"Li Preti, Peter",Monetary,Corporation,"270 Drumlin Circle, Suite 5, Concord",1530787 Ontario Inc.,L4K 3E2,Councillor,2.0,8,2006
200.0,"Thompson, Michael",Monetary,Corporation,"1420 Kennedy Rd , Suite 3, Toronto",1556682 Ontario Inc. Mothers Choice,M1P 2L7,Councillor,2.0,37,2006
300.0,"Carroll, Shelley",Monetary,Corporation,"9206 Yonge St., Richmond Hill",1573548 Ontario Inc,L4C 7A2,Councillor,2.0,33,2006
200.0,"Milczyn, Peter",Monetary,Corporation,"372 Broomfield Road, Grafton",1591861 Ontario Inc.,K0K 2G0,Councillor,2.0,5,2006
200.0,"Wdowczyk, Frances",Monetary,Corporation,"130 Industry Street, Suite 36, Toronto",1609834 Ontario Inc (Macquick Printing),M6M 5G3,Councillor,2.0,13,2006
750.0,"Minnan-Wong, Denzil",Monetary,Corporation,"78 Saddleridge Dr., Toronto",1625521 Ontario Limited,M4A 1Z7,Councillor,2.0,34,2006
